file,stimulus,condition,block,corrAns,,,
images/woman_spaghetti.jpg,woman_spaghetti.jpg,Plausible,2,c,,,
images/man at daytime drive in movie.jpg,man at daytime drive in movie.jpg,Implausible,2,n,,,
images/man in bathrobe on bridge.jpg,man in bathrobe on bridge.jpg,Implausible,2,n,,,
images/business man with fish in mouth.jpg,business man with fish in mouth.jpg,Implausible,2,n,,,
images/woman_drilling.jpg,woman_drilling.jpg,Plausible,2,c,,,
images/woman_runner.jpg,woman_runner.jpg,Plausible,2,c,,,
images/business man with inline skates.jpg,business man with inline skates.jpg,Implausible,2,n,,,
images/office meeting.jpg,office meeting.jpg,Plausible,2,c,,,
images/man in doghouse.jpg,man in doghouse.jpg,Implausible,2,n,,,
images/man_waiting for train.jpg,man_waiting for train.jpg,Plausible,2,c,,,
images/woman_smelling flower.jpg,woman_smelling flower.jpg,Plausible,2,c,,,
images/business man in cape.jpg,business man in cape.jpg,Implausible,2,n,,,
images/business woman treadmill.jpg,business woman treadmill.jpg,Implausible,2,n,,,
images/man_water skiing.jpg,man_water skiing.jpg,Plausible,2,c,,,
images/man on laptop in middle of road.jpg,man on laptop in middle of road.jpg,Implausible,2,n,,,
images/kicking soccer ball underwater.jpg,kicking soccer ball underwater.jpg,Implausible,2,n,,,
images/lamp on head.jpg,lamp on head.jpg,Implausible,2,n,,,
images/man cleaning_boxing match asst.jpg,man cleaning_boxing match asst.jpg,Implausible,2,n,,,
images/woman_eating salad.jpg,woman_eating salad.jpg,Plausible,2,c,,,
images/man_waxing boat.jpg,man_waxing boat.jpg,Plausible,2,c,,,
images/swimmers starting dive.jpg,swimmers starting dive.jpg,Plausible,2,c,,,
images/woman_headphones.jpg,woman_headphones.jpg,Plausible,2,c,,,
images/business man skiing down hill.jpg,business man skiing down hill.jpg,Implausible,2,n,,,
images/woman_grocery store.jpg,woman_grocery store.jpg,Plausible,2,c,,,
images/fish speaking into phone.jpg,fish speaking into phone.jpg,Implausible,2,n,,,
images/woman_fingers crossed.jpg,woman_fingers crossed.jpg,Plausible,2,c,,,
images/man catching grenade.jpg,man catching grenade.jpg,Implausible,2,n,,,
images/man wearing jacket on coat rack.jpg,man wearing jacket on coat rack.jpg,Implausible,2,n,,,
images/man sleeping while standing.jpg,man sleeping while standing.jpg,Implausible,2,n,,,
images/girl eating fish head.jpg,girl eating fish head.jpg,Implausible,2,n,,,
images/business man jumping off bridge.jpg,business man jumping off bridge.jpg,Implausible,2,n,,,
images/woman_looking at map.jpg,woman_looking at map.jpg,Plausible,2,c,,,
images/man_tennis court.jpg,man_tennis court.jpg,Plausible,2,c,,,
images/man skateboarding in bathtub.jpg,man skateboarding in bathtub.jpg,Implausible,2,n,,,
images/boxing in the clouds.jpg,boxing in the clouds.jpg,Implausible,2,n,,,
images/man at desk sitting in hole.jpg,man at desk sitting in hole.jpg,Implausible,2,n,,,
images/boy with computer dog.jpg,boy with computer dog.jpg,Implausible,2,n,,,
images/man_wind instrument on bench.jpg,man_wind instrument on bench.jpg,Plausible,2,c,,,
images/woman_sewing machine.jpg,woman_sewing machine.jpg,Plausible,2,c,,,
images/wedding kiss.jpg,wedding kiss.jpg,Plausible,2,c,,,
images/woman_reading in bed.jpg,woman_reading in bed.jpg,Plausible,2,c,,,
images/woman_running w surfboard.jpg,woman_running w surfboard.jpg,Plausible,2,c,,,
images/boy diving into bucket.jpg,boy diving into bucket.jpg,Implausible,2,n,,,
images/office on phone.jpg,office on phone.jpg,Plausible,2,c,,,
images/man praying to soccer ball in tv.jpg,man praying to soccer ball in tv.jpg,Implausible,2,n,,,
images/man feeding paper into shredder w mouth.jpg,man feeding paper into shredder w mouth.jpg,Implausible,2,n,,,
images/woman_singing on stage.jpg,woman_singing on stage.jpg,Plausible,2,c,,,
images/woman_high jump.jpg,woman_high jump.jpg,Plausible,2,c,,,
images/business man pole vaulting.jpg,business man pole vaulting.jpg,Implausible,2,n,,,
images/man_hammer to crack egg.jpg,man_hammer to crack egg.jpg,Implausible,2,n,,,
images/woman_plucking eyebrow.jpg,woman_plucking eyebrow.jpg,Plausible,2,c,,,
images/doctor_surgery on book.jpg,doctor_surgery on book.jpg,Implausible,2,n,,,
images/woman_washing hands.jpg,woman_washing hands.jpg,Plausible,2,c,,,
images/woman_office.jpg,woman_office.jpg,Plausible,2,c,,,
images/woman_mtn climb.jpg,woman_mtn climb.jpg,Plausible,2,c,,,
images/woman_pulling plant.jpg,woman_pulling plant.jpg,Plausible,2,c,,,
images/man holding up toilet.jpg,man holding up toilet.jpg,Implausible,2,n,,,
images/man blowing on strings.jpg,man blowing on strings.jpg,Implausible,2,n,,,
images/man using ax to cut vegetables.jpg,man using ax to cut vegetables.jpg,Implausible,2,n,,,
images/leg coming out of river.jpg,leg coming out of river.jpg,Implausible,2,n,,,
images/woman_ice skating.jpg,woman_ice skating.jpg,Plausible,2,c,,,
images/eating cords w chopsticks.jpg,eating cords w chopsticks.jpg,Implausible,2,n,,,
images/two women_hiking.jpg,two women_hiking.jpg,Plausible,2,c,,,
images/two girls_picture.jpg,two girls_picture.jpg,Plausible,2,c,,,
